title,citation,coram,decision_date,case_no,bench,pdf_path_or_url,snippet
Rajendra Singh and Ors. v. State of Uttaranchal Etc.,[2025] 10 S.C.R. 342,"Coram : PANKAJ MITHAL * , PRASANNA BHALACHANDRA VARALE",07-10-2025,CRIMINAL APPEAL No. 476/2013,2 Judges,pdfs/Rajendra Singh and Ors. v. State of Uttaranchal Etc..pdf,"Penal Code, 1860 – s.302 – Murder – Benefit of doubt – Altercation between the parties over a land dispute – Few hours later, the appellants armed with swords and sharp edged weapon inflicted blows upon the son of the complainant resulting in his death – Acquittal by the trial court, however, conviction of the appellants-father, son and son-in-law u/s.302 with life imprisonment and fine by the High Court – Correctness: Held: Statement of the appellants that the weapons recovered were the weapons of crime cannot be read against them in view of ss.25 and 26 rw s.27 of the 1872 Act – Only that part of the statement which leads the police to the recovery of the weapons is admissible, and not the part which alleges that the weapons recovered were actually the weapons of crime – Ocular evidence of prosecution witnesses, if read together, not sufficient to identify the appellants as the persons who attacked and assaulted the deceased resulting in his death – Their presence at the scene of crime becomes doubtful – Information leading to the recovery of the weapons of crime is admissible, but not the information that the crime was actually committed by the said weapons – Identity of the appellants as the persons involved in the offence not established * Author"
Nazim & Ors. v. The State of Uttarakhand,[2025] 10 S.C.R. 263,"Coram : M.M. SUNDRESH * , SATISH CHANDRA SHARMA",06-10-2025,CRIMINAL APPEAL No. 715/2018,2 Judges,pdfs/Nazim & Ors. v. The State of Uttarakhand.pdf,"Circumstantial Evidence – Penal Code, 1860 – ss.302, 201, 120-B – Conviction of the appellants u/ss.302, 201, 120-B, IPC rested largely on the testimony of three prosecution witnesses, PW-2, PW-3 and PW-4 – Interference with:Held: 1.1 Prosecution failed to establish a complete and unbroken chain of circumstances – Evidence on record does not complete the chain of circumstances pointing to the guilt of the accused persons – There are substantial gaps in the case of the prosecution. [Paras 56, 29]1.2 The first and most glaring circumstance is the omission of the names of the two of the three Appellants in the FIR – PW-1, the complainant and the father of the deceased, expressly named six persons with whom he admittedly had long-standing enmity, yet he did not attribute any role to the present Appellants, ‘N’ and ‘A’ – Both PW-1 and PW-2 were admittedly familiar with them – Despite this, their names were not mentioned in the FIR, nor was any contemporaneous explanation offered for their absence – This significant omission strikes at the root of the prosecution narrative, undermines its credibility, and constitutes a material fact that must weigh heavily in favour of the accused. [Para 29]1.3 Further, there are improbabilities in PW-2’s testimony, coupled with his unexplained silence at crucial stages – The prosecution then relied on testimonies of PW-3 and PW-4 to establish  * Author"
Maniklal Sahu v. State of Chhattisgarh,[2025] 10 S.C.R. 212,"Coram : J.B. PARDIWALA * , R MAHADEVAN",12-09-2025,CRIMINAL APPEAL No. 5578/2024,2 Judges,pdfs/Maniklal Sahu v. State of Chhattisgarh.pdf,"Penal Code, 1860 – First limb of s.300 – Fatal injury – Intention to cause death – Death occurs after several days of complications – Principle that Courts must remember:Held: If it is proved that the injury was fatal and the intention was to cause death, though the death occurred after several days of septicaemia or other complications having supervened, yet it is undoubtedly a murder as it falls within the first limb of s.300 of the IPC. [Para 69(a)]Penal Code, 1860 – Third limb of s.300 – Injuries sufficient to cause death in the ordinary course of nature – Intended injuries – Death occurs after complications – Principle that Courts must remember:Held: If it is proved that the injuries by themselves were sufficient to cause death in the ordinary course of nature, and if it is established that those injuries were the intended injuries, though the death might have occurred after septicaemia or other complications had supervened, yet the act of the accused would squarely fall under the third limb of s.300 of the IPC and the accused is therefore liable to be punished u/s.302 of the IPC. [Para 69(b)]* Author"
Mohammad Afzal Mohammad Sharif v. The State of Maharashtra and Others,[2025] 10 S.C.R. 78,"Coram : SANJAY KUMAR * , SATISH CHANDRA SHARMA",11-09-2025,CRIMINAL APPEAL No. 3976/2025,2 Judges,pdfs/Mohammad Afzal Mohammad Sharif v. The State of Maharashtra and Others.pdf,"Penal Code, 1860 – s.307 r/w. ss.34, 324, 325, 326 – This litigation has its moorings in the communal riots that broke out in Akola City, Maharashtra, on 13.05.2023 owing to a social media post – The appellant stated that under the mistaken identity/belief that the deceased was a Muslim, the four unknown assailants had caused his death and, thereafter, attacked him – No offence was registered against the unknown assailants – Appellant along with his father even lodged written complaints on 01.06.2023 with the Police Station Officer – Except for getting his statement recorded through one of the police personnel of the Old City Police Station at Akola, no other action was taken – Writ petition filed by the appellant was dismissed – The High Court observed that the writ petition was tainted with some ulterior motive and, therefore, it was not a fit case for exercise of power u/Art.226 of the Constitution – Correctness:Held: It is manifest from a plain reading of s.154 CrPC that once information relating to commission of a cognizable offence is given to the officer-in-charge of a police station, the investigative machinery is required to be set in motion – If the information received revealed commission of a cognizable offence, it is mandatory to record the substance of the information in a book to be kept by the officer in the prescribed form – In effect, if the information received disclosed * Author"
State of Karnataka v. Sri Darshan Etc.,[2025] 9 S.C.R. 194,"Coram : J.B. PARDIWALA * , R MAHADEVAN *",14-08-2025,CRIMINAL APPEAL No. 3528/2025,2 Judges,pdfs/State of Karnataka v. Sri Darshan Etc..pdf,"Code of Criminal Procedure, 1973 – s.439 – Cancellation of bail – When warranted – A2, a celebrity along with co-accused, was charged inter alia u/ss.120B, 364, 302, 201 and 204, IPC for the murder of a man, who was allegedly kidnapped, tortured, and beaten to death by the accused for sending objectionable messages to A1, partner of A2 – Respondents granted bail by the High Court – Propriety:Held: Order of the High Court suffers from serious legal infirmities – No special or cogent reasons are given for granting bail in a case involving charges u/ss.302, 120B, and 34 IPC reflecting a mechanical exercise of discretion, marked by significant omissions of legally relevant and material facts – The allegation is of a brutal and custodial murder of a young man who was allegedly kidnapped, tortured, and beaten to death by the accused – This is not a case of sudden provocation or emotional outburst – Evidence indicates a pre-meditated and orchestrated crime where the accused also engaged in systematic destruction of evidence – Granting bail in such a serious case, without adequate consideration of the nature and gravity of the offence, the accused’s role and the tangible risk of interference with the trial, amounts to a perverse and wholly unwarranted exercise of discretion – By treating A2’s stature as a mitigating factor, the High Court committed a manifest perversity in the exercise of its discretion, warranting cancellation of bail – Furthermore, the well-founded allegations of witness intimidation, * Author"
Shail Kumari v. State of Chhattisgarh,[2025] 8 S.C.R. 599,"Coram : BHUSHAN RAMKRISHNA GAVAI * , K. VINOD CHANDRAN",06-08-2025,CRIMINAL APPEAL No. 2189/2017,2 Judges,pdfs/Shail Kumari v. State of Chhattisgarh.pdf,"Penal Code, 1860 – s.302 – Allegation against the  appellant-accused that she took her children to a pond/lake and drowned them – Trial Court convicted accused u/s.302 of IPC solely on the basis of evidence of PW-2 – The High Court upheld the conviction – Correctness:Held: The conviction in the present case could be sustainable only if the prosecution is in a position to prove the case beyond reasonable doubt and also establish a chain of events which is so connected to each other that it leads to no other conclusion than the guilt of the accused – The conviction is based solely on the evidence of PW-2 – The perusal of the cross-examination of PW-2 would reveal that he has fully improved his case in his examination-in-chief – He has narrated what does not find place in his statement u/s.161, CrPC – As such his evidence is totally contradictory and therefore totally unworthy – Apart from the testimony of PW-2, there is nothing to connect the present appellant with the crime in question – The prosecution has not even examined the Rickshaw Puller who was stated to have seen the appellant going towards the Pujari Talab and the children floating in the lake – The testimony of PW-2 being unreliable, at the most, can be treated as hearsay evidence – This Court is of the considered opinion that the conviction, as recorded by the trial Court and affirmed by the High Court is totally based on conjectures and surmises – The conviction of the appellant is not sustainable in law. [Paras 7, 8, 12, 13, 14]* Author"
Narayan Yadav v. State of Chhattisgarh,[2025] 8 S.C.R. 568,"Coram : J.B. PARDIWALA * , R MAHADEVAN",05-08-2025,CRIMINAL APPEAL No. 3343/2025,2 Judges,pdfs/Narayan Yadav v. State of Chhattisgarh.pdf,"Evidence Act, 1872 – s.25 – Penal Code, 1860 – ss.302, 304  Part I – Confessional FIR, not admissible in evidence – Appellant-accused himself lodged FIR confessing the murder of the deceased in a drunken quarrel after the deceased allegedly made an obscene remark about the appellant’s girlfriend – Convicted u/s.302, IPC – High Court relied on the confessional FIR and medical evidence to uphold conviction, however, it was altered from s.302, IPC to s.304 Part I, giving benefit of Exception 4 to s.300 – Sustainability:Held: Not sustainable – Confessional FIR is not admissible in evidence – Contents of the FIR are hit by s.25, Evidence Act, being a confession before a police officer – An FIR of a confessional nature made by an accused person is inadmissible in evidence against him, except to the extent that it shows he made a statement soon after the offence, thereby identifying him as the maker of the report, which is admissible as evidence of his conduct u/s.8, Evidence Act – High Court erred in reading the contents of the FIR lodged by the appellant into evidence – There was no question at all for the High Court to seek corroboration of the medical evidence on record with the confessional part of the FIR lodged by the appellant – Further, the High Court should have been mindful of the fact that a doctor is not a witness of fact – Evidence of such an expert is of an advisory character – An accused cannot be held guilty of the offence of murder solely on the basis of medical evidence on record – Furthermore, the depositions of the panch witnesses do not inspire any confidence – * Author"
Pradeep Bhardwaj v. Priya,[2025] 7 S.C.R. 534,"Coram : VIKRAM NATH * , SANDEEP MEHTA",15-07-2025,CIVIL APPEAL No. 9502/2025,2 Judges,pdfs/Pradeep Bhardwaj v. Priya.pdf,"Hindu Marriage Act, 1955 – s.13(1)(a) – Divorce – Irretrievable breakdown of marriage – Petition for dissolution of marriage on the ground of cruelty by the appellant-husband – Dismissed by the family court – Thereagainst, an appeal by the appellant on the ground of irretrievable breakdown of marriage and animosity between the parties – Dismissed by the High Court – Challenge to:Held: Fit case to exercise power u/Art.142 and grant the relief of divorce to the parties on the ground of irretrievable breakdown of marriage – It is apparent that due to complete detachment and the prolonged estrangement, there has been an irretrievable breakdown of the marital bond, which cannot be mended by any means – Moreover, both the parties have spent the prime years of their youth entangled in this marital discord, which has persisted for more than the last fifteen years – Continuance of marriage would only fuel animosity and litigation between the parties, which runs contrary to the ethos of matrimonial harmony envisioned by the law – Also, the appellant and his family members’ have been acquitted in the cruelty case filed by the respondent-wife – It cannot be expected by appellant to now continue in a marital bond with the respondent – Thus, in the interest of both the parties and the minor child that they be allowed to lead their lives independently and peacefully, free from legal battles – Decree of divorce granted and monthly maintenance enhanced to Rs.15,000/- pm in favour of respondent and the minor son – Constitution of India – Art.142. [Paras 23-27]* Author"
Amlesh Kumar v. The State of Bihar,[2025] 7 S.C.R. 394,"Coram : SANJAY KAROL * , PRASANNA BHALACHANDRA VARALE",09-06-2025,CRIMINAL APPEAL No. 2901/2025,2 Judges,pdfs/Amlesh Kumar v. The State of Bihar.pdf,"Constitution of India – Art.20(3) and Art.21 – Code of Criminal Procedure, 1973 – s.439 – The High Court accepted the submission of the Sub-Divisional Police Officer, Mahua, that she would conduct narco-analysis test of all the accused persons (including the appellant herein) and other witnesses, during the investigation – Correctness:Held: There was no reason for the High Court to accept a submission by the Investigating Officer, stating that they will conduct a narco-analysis test of all the accused persons – Such a submission and its acceptance, is in direct contravention to the judgment of this Court in Selvi, being hit by the protections u/Arts.20(3) and 21 of the Constitution – Moreover, it is settled law that while entertaining an application for grant of bail, the Court has to take into consideration the allegations against the accused; period of custody undergone; nature of evidence and the crime in question; likelihood of influencing witnesses and other such relevant grounds – It does not involve entering into a roving enquiry or accepting the use of involuntary investigative techniques  – Therefore, the High Court has erred in accepting a submission to carry out a narco-analysis test of all accused persons by the Investigating Officer. [Paras 10, 11, 13]* Author"
Ghanshyam Soni v. State,[2025] 7 S.C.R. 331,"Coram : B.V. NAGARATHNA * , SATISH CHANDRA SHARMA",04-06-2025,CRIMINAL APPEAL No. 2894/2025,2 Judges,pdfs/Ghanshyam Soni v. State.pdf,"Code of Criminal Procedure, 1973 – s.468 – Penal Code, 1860 – ss.498A, 34 – Bar to taking cognizance after lapse of the period of limitation – Allegations of cruelty and dowry demand against the appellant-husband and in-laws, by the respondent no.2-wife – Both parties police officer – Filing of complaints by respondent no.2, and withdrawal of one  – Thereafter, respondent no.2 registered FIR against the appellant and her in-laws for commission of offences u/ss.498A, 406 and 34 and chargesheet was filed – Magistrate framed charges only u/ss.498A rw s.34 – Revision Petition by the appellant that allegations against him and his family were false; that the complaint was lodged after an inordinate delay of 3 years; and that the cognizance on the complaint was taken beyond the limitation period – Sessions Court discharged the appellant and the in-laws for the offences u/ss.498A and 34 holding that the Magistrate took cognizance of time-barred case – High Court set aside the order passed by the Sessions Court – Correctness:Held: For the computation of the limitation period u/s.468 the relevant date is the date of filing of the complaint or the date of institution of prosecution and not the date on which the Magistrate takes cognizance – Magistrate is well within his powers to take cognizance of a complaint filed within a period of three years from * Author"
In Re: Right To Privacy of Adolescents,[2025] 7 S.C.R. 216,"Coram : ABHAY S. OKA * , UJJAL BHUYAN",23-05-2025,SUO MOTO WRIT PETITION (CIVIL) No. 3/2023,2 Judges,pdfs/In Re: Right To Privacy of Adolescents.pdf,"Protection of Children from Sexual Offences Act, 2012 – s.6 – Penal Code, 1860 – ss.363 and 366 – Sentencing of the accused – Rehabilitation of the victim and her child – Measures for adolescent well being and child protection – On facts, girl aged fourteen years victim under the POCSO Act – Victim married the accused and had a child with him – Acquittal of the accused for the offences punishable under the 2012 Act and IPC by the High Court, since the victim and the accused wanted to continue their cohabitation – In appeal thereagainst, this Court set aside the judgment of the High Court and restored the conviction of the accused for the offences punishable u/ss.376(2)(n) and 376(3) IPC and s.6 of the POCSO Act – Issue as regards sentencing the accused and the suo motu writ petition as regards objectionable observations made in the impugned judgment:Held: Final report of the Committee concludes that though the incident was seen as a crime in law, the victim did not treat it as one – In law, no option but to sentence the accused and send him to jail for undergoing the minimum punishment prescribed by the Statute – However, the society, the family of the victim and the legal system have done enough injustice to the victim, she has been subjected to enough trauma and agony and would add to the injustice by sending her husband to jail to undergo imprisonment – There has been failure to provide both social and economic justice to the victim, failure of the concept of welfare state, complete failure of the society and the legal system – However, * Author"
Shaurabh Kumar Tripathi v. Vidhi Rawal,[2025] 6 S.C.R. 545,"Coram : ABHAY S. OKA * , UJJAL BHUYAN",19-05-2025,CRIMINAL APPEAL No. 2688/2025,2 Judges,pdfs/Shaurabh Kumar Tripathi v. Vidhi Rawal.pdf,"Criminal Procedure Code, 1973 – s.482 – Bharatiya Nagarik Suraksha Sanhita, 2023 – s.528 – Protection of Women from Domestic Violence Act, 2005 (DV Act) – s.12 – Exercise of power of High Court u/s.482, CrPC (s.528, BNSS) to quash proceedings u/s.12, DV Act – Permissibility: Held: High Courts can exercise power u/s.482, CrPC (s.528, BNSS) for quashing the proceedings initiated u/s.12(1) of the DV Act, 2005, pending before the Court of the Magistrate – However, considering the object of the DV Act, 2005, the High Courts should exercise caution and circumspection when dealing with an application u/s.12(1) – Normally, interference u/s.482 is warranted only in the case of gross illegality or injustice – View taken in the impugned order of the High Court that a petition u/s.482, CrPC for challenging the proceedings emanating from s.12(1), DV Act, 2005 is not maintainable, is not the correct view – Order passed by High Court quashed – Petitions filed by the appellants u/s.482, CrPC to quash the application u/s.12, DV Act restored to the file of the High Court. [Para 39]Protection of Women from Domestic Violence Act, 2005 (DV Act) – ss.12, 28 – Criminal Procedure Code, 1973 – s.200 – Bharatiya Nagarik Suraksha Sanhita, 2023 – s.223 – Scheme of s.12 vis-a-vis s.200, CrPC or s.223, BNSS. [Paras 18, 21]* Author"
